cutoff_date,ID,end_modified,end_true
219,PA-2018-08-2018,1,1
219,QUE-2019-15-2019,1,1
219,RI-2021-58-2021,1,1
219,RI-2020-38-2020,1,1
219,QUE-2018-02-2018,1,1
219,RI-2020-39-2020,1,1
219,QUE-2018-05-2018,1,1
219,VA-2018-01-2018,1,1
219,VT-2020-06-2020,1,1
219,PA-2018-09-2018,1,1
219,PA-2018-01-2018,1,1
219,RI-2018-06-2018,1,1
219,NY-2019-10-2019,1,1
219,RI-2020-33-2020,3,1
219,RI-2021-50-2021,1,1
219,QUE-2019-06-2019,1,1
219,RI-2021-47-2021,1,1
233,PA-2018-08-2018,1,1
233,QUE-2019-15-2019,1,1
233,RI-2021-58-2021,1,1
233,RI-2018-07-2018,1,1
233,RI-2020-38-2020,1,1
233,QUE-2018-02-2018,1,1
233,RI-2020-39-2020,1,1
233,ME-2020-17-2020,1,1
233,PA-2021-38-2021,1,1
233,PA-2021-39-2021,1,1
233,QUE-2018-05-2018,1,1
233,PA-2021-45-2021,1,1
233,VA-2018-01-2018,1,1
233,ME-2020-16-2020,1,1
233,VT-2020-06-2020,1,1
233,PA-2018-09-2018,1,1
233,VA-2018-05-2018,1,1
233,VA-2020-69-2020,1,1
233,PA-2018-01-2018,1,1
233,RI-2018-06-2018,1,1
233,ME-2020-18-2020,1,1
233,VT-2021-26-2021,1,1
233,NS-2019-06-2019,1,1
233,NY-2019-10-2019,1,1
233,VT-2021-21-2021,1,1
233,NS-2019-01-2019,1,1
233,RI-2020-33-2020,3,1
233,RI-2021-50-2021,1,1
233,PA-2019-15-2019,1,1
233,QUE-2019-06-2019,1,1
233,RI-2021-47-2021,1,1
233,NY-2019-13-2019,1,1
233,ME-2018-08-2018,1,1
250,PA-2018-08-2018,3,3
250,RI-2021-58-2021,1,1
250,ME-2017-02-2017,1,1
250,VA-2019-34-2019,1,1
250,RI-2018-07-2018,1,1
250,RI-2020-38-2020,1,1
250,QUE-2018-02-2018,3,3
250,RI-2020-39-2020,1,1
250,ME-2020-17-2020,3,3
250,PA-2021-38-2021,1,1
250,ME-2018-13-2018,1,1
250,PA-2021-39-2021,3,3
250,PA-2021-45-2021,1,1
250,VA-2018-01-2018,1,1
250,ME-2020-16-2020,3,3
250,VT-2020-06-2020,3,1
250,PA-2018-09-2018,3,3
250,VA-2018-05-2018,1,1
250,VA-2020-69-2020,3,1
250,PA-2018-01-2018,1,1
250,RI-2018-06-2018,1,1
250,VA-2019-35-2019,1,1
250,WV-2019-01-2019,1,1
250,ME-2018-12-2018,1,1
250,ME-2020-18-2020,3,3
250,VT-2021-26-2021,3,3
250,NS-2019-06-2019,1,1
250,NY-2019-10-2019,1,1
250,VT-2021-21-2021,1,1
250,NS-2019-01-2019,1,1
250,VA-2020-63-2020,1,1
250,RI-2020-33-2020,3,1
250,RI-2021-50-2021,1,1
