cutoff_date,ID,end_modified,end_true
75,NJ-2018-04-2019,2,2
75,NJ-2019-22-2020,3,4
75,FL-2022-06-2022,3,3
75,NC-2021-24-2021,3,3
75,AL-2020-04-2020,3,4
75,NJ-2018-02-2019,3,3
75,AL-2021-09-2021,3,3
75,AL-2022-19-2022,3,3
75,VT-2021-28-2022,2,2
75,SC-2021-22-2021,3,3
75,FL-2021-01-2021,1,1
75,SC-2020-13-2020,3,3
75,AL-2022-20-2022,3,3
75,NC-2021-22-2021,3,3
75,GA-2021-15-2021,2,2
75,SC-2020-14-2020,1,1
75,SC-2021-19-2021,5,4
75,MD-2021-18-2021,5,3
106,NJ-2018-04-2019,4,3
106,NJ-2019-22-2020,5,5
106,VA-2020-57-2020,1,1
106,FL-2022-06-2022,2,2
106,NC-2021-24-2021,3,3
106,AL-2020-04-2020,3,4
106,NJ-2018-02-2019,4,4
106,AL-2021-09-2021,4,3
106,AL-2022-19-2022,4,4
106,VT-2021-28-2022,2,2
106,SC-2021-22-2021,4,4
106,FL-2021-01-2021,2,2
106,SC-2020-13-2020,2,2
106,AL-2022-20-2022,2,2
106,NC-2021-22-2021,3,3
106,GA-2021-15-2021,3,4
106,SC-2020-14-2020,3,3
106,VA-2019-12-2019,3,1
106,SC-2021-19-2021,3,4
106,MD-2021-18-2021,3,3
136,NJ-2018-04-2019,2,2
136,NJ-2019-22-2020,4,4
136,VA-2020-57-2020,5,5
136,FL-2022-06-2022,4,4
136,NC-2021-24-2021,4,4
136,AL-2020-04-2020,4,4
136,NJ-2018-02-2019,5,5
136,AL-2021-09-2021,4,4
136,AL-2022-19-2022,4,4
136,VT-2021-28-2022,5,4
136,SC-2021-22-2021,4,4
136,FL-2021-01-2021,3,3
136,SC-2020-13-2020,5,5
136,AL-2022-20-2022,4,4
136,NC-2021-22-2021,4,4
136,GA-2021-15-2021,4,4
136,SC-2020-14-2020,4,4
136,VA-2019-12-2019,4,4
136,SC-2021-19-2021,3,4
136,MD-2021-18-2021,5,5
167,VA-2020-57-2020,4,4
167,FL-2022-06-2022,4,4
167,NC-2021-24-2021,4,5
167,AL-2020-04-2020,4,4
167,AL-2021-09-2021,4,4
167,AL-2022-19-2022,5,5
167,VT-2021-28-2022,4,4
167,SC-2021-22-2021,4,4
167,FL-2021-01-2021,5,5
167,SC-2020-13-2020,4,4
167,SC-2020-14-2020,4,4
167,VA-2019-12-2019,5,5
167,SC-2021-19-2021,5,4
167,MD-2021-18-2021,5,5
75,GA-2020-08-2020,3,3
75,FL-2021-03-2021,2,2
75,SC-2020-10-2020,3,3
75,NC-2020-14-2020,3,3
75,PA-2020-25-2021,5,3
75,VA-2020-62-2021,5,5
75,AL-2022-21-2022,2,2
75,NJ-2018-05-2019,3,3
75,NC-2022-41-2022,2,2
75,MD-2020-10-2020,1,1
75,MD-2019-05-2019,3,4
75,VA-2020-78-2021,2,2
75,NC-2019-02-2019,3,3
75,NC-2020-13-2020,3,3
75,VA-2019-43-2020,3,3
75,VA-2019-14-2019,1,1
75,VA-2020-63-2021,3,3
75,MD-2021-19-2021,3,3
75,NC-2019-01-2019,3,3
75,NC-2020-07-2020,3,3
75,MD-2020-17-2020,3,3
75,QUE-2020-17-2021,5,3
75,NC-2020-11-2020,1,1
75,SC-2021-21-2021,3,3
75,NC-2019-03-2019,3,3
75,AL-2022-16-2022,3,3
75,VA-2019-11-2019,1,1
75,VA-2020-51-2020,2,2
75,NC-2020-06-2020,3,3
92,NJ-2018-04-2019,2,2
92,NJ-2019-22-2020,3,4
92,VA-2020-57-2020,1,1
92,FL-2022-06-2022,3,3
92,NC-2021-24-2021,3,3
92,AL-2020-04-2020,3,4
92,NJ-2018-02-2019,3,3
92,AL-2021-09-2021,2,2
92,AL-2022-19-2022,4,4
92,VT-2021-28-2022,2,2
92,SC-2021-22-2021,4,4
92,FL-2021-01-2021,1,1
92,SC-2020-13-2020,2,2
92,AL-2022-20-2022,3,3
92,NC-2021-22-2021,3,3
92,GA-2021-15-2021,3,4
92,SC-2020-14-2020,1,1
92,SC-2021-19-2021,3,4
92,MD-2021-18-2021,3,3
92,GA-2020-08-2020,3,3
92,VA-2019-21-2019,1,1
92,FL-2021-03-2021,3,4
92,SC-2020-10-2020,2,2
92,NC-2020-14-2020,3,3
92,PA-2020-25-2021,4,4
92,VA-2020-62-2021,4,4
92,AL-2022-21-2022,4,4
92,NJ-2018-05-2019,2,2
92,NC-2022-41-2022,3,3
92,MD-2020-10-2020,2,2
92,MD-2019-05-2019,3,4
92,VA-2020-78-2021,4,4
92,NC-2019-02-2019,3,3
92,NC-2020-13-2020,4,4
92,VA-2019-43-2020,3,3
92,VA-2019-14-2019,3,3
92,VA-2020-63-2021,2,2
92,MD-2021-19-2021,4,4
92,NC-2019-01-2019,3,3
92,NC-2020-07-2020,3,3
92,MD-2020-17-2020,3,3
92,QUE-2020-17-2021,5,3
92,NC-2020-11-2020,3,4
92,SC-2021-21-2021,3,4
92,NC-2019-03-2019,3,3
92,AL-2022-16-2022,3,3
92,VA-2019-11-2019,1,1
92,VA-2020-51-2020,2,2
92,NC-2020-06-2020,3,3
106,GA-2020-08-2020,4,4
106,VA-2019-21-2019,2,2
106,FL-2021-03-2021,5,5
106,SC-2020-10-2020,5,3
106,NC-2020-14-2020,4,4
106,PA-2020-25-2021,4,4
106,VA-2020-62-2021,5,5
106,AL-2022-21-2022,4,4
106,NJ-2018-05-2019,4,3
106,NC-2022-41-2022,4,4
106,MD-2020-10-2020,2,2
106,MD-2019-05-2019,3,4
106,VA-2020-78-2021,4,4
106,NC-2019-02-2019,4,4
106,NC-2020-13-2020,5,5
106,VA-2019-43-2020,3,3
106,VA-2019-14-2019,3,3
106,VA-2020-63-2021,2,2
106,MD-2021-19-2021,5,5
106,NC-2019-01-2019,4,3
106,NC-2020-07-2020,2,2
106,MD-2020-17-2020,4,4
106,QUE-2020-17-2021,4,4
106,NC-2020-11-2020,4,4
106,SC-2021-21-2021,4,4
106,NC-2019-03-2019,3,3
106,AL-2022-16-2022,4,3
106,VA-2019-11-2019,4,3
106,VA-2020-51-2020,2,2
106,NC-2020-06-2020,4,4
122,NJ-2018-04-2019,4,3
122,NJ-2019-22-2020,4,4
122,VA-2020-57-2020,2,2
122,FL-2022-06-2022,4,4
122,NC-2021-24-2021,2,2
122,AL-2020-04-2020,3,4
122,NJ-2018-02-2019,5,5
122,AL-2021-09-2021,4,3
122,AL-2022-19-2022,4,4
122,VT-2021-28-2022,4,4
122,SC-2021-22-2021,4,4
122,FL-2021-01-2021,3,3
122,SC-2020-13-2020,4,4
122,AL-2022-20-2022,4,4
122,NC-2021-22-2021,3,3
122,GA-2021-15-2021,4,4
122,SC-2020-14-2020,3,3
122,VA-2019-12-2019,4,4
122,SC-2021-19-2021,3,4
122,MD-2021-18-2021,4,4
122,GA-2020-08-2020,4,4
122,VA-2019-21-2019,2,2
122,FL-2021-03-2021,5,5
122,SC-2020-10-2020,2,2
122,NC-2020-14-2020,5,4
122,PA-2020-25-2021,4,4
122,VA-2020-62-2021,5,5
122,AL-2022-21-2022,4,4
122,NJ-2018-05-2019,4,4
122,NC-2022-41-2022,4,4
122,MD-2020-10-2020,4,4
122,MD-2019-05-2019,3,4
122,VA-2020-78-2021,4,4
122,NC-2019-02-2019,4,4
122,NC-2020-13-2020,4,4
122,VA-2019-43-2020,5,5
122,VA-2019-14-2019,4,4
122,VA-2020-63-2021,2,2
122,MD-2021-19-2021,4,4
122,NC-2019-01-2019,3,3
122,NC-2020-07-2020,2,2
122,MD-2020-17-2020,4,4
122,QUE-2020-17-2021,5,5
122,NC-2020-11-2020,5,5
122,SC-2021-21-2021,4,4
122,NC-2019-03-2019,4,4
122,AL-2022-16-2022,4,3
122,VA-2019-11-2019,4,3
122,VA-2020-51-2020,2,2
122,NC-2020-06-2020,4,4
136,GA-2020-08-2020,5,5
136,VA-2019-21-2019,5,5
136,FL-2021-03-2021,5,5
136,SC-2020-10-2020,4,4
136,NC-2020-14-2020,4,4
136,PA-2020-25-2021,4,4
136,VA-2020-62-2021,5,5
136,AL-2022-21-2022,4,4
136,NJ-2018-05-2019,5,5
136,NC-2022-41-2022,4,4
136,MD-2020-10-2020,4,4
136,MD-2019-05-2019,4,4
136,VA-2020-78-2021,4,4
136,NC-2019-02-2019,5,5
136,NC-2020-13-2020,4,4
136,VA-2019-43-2020,4,5
136,VA-2019-14-2019,4,4
136,VA-2020-63-2021,2,2
136,MD-2021-19-2021,4,4
136,NC-2019-01-2019,4,4
136,NC-2020-07-2020,5,5
136,MD-2020-17-2020,4,4
136,QUE-2020-17-2021,5,5
136,NC-2020-11-2020,5,5
136,SC-2021-21-2021,4,4
136,NC-2019-03-2019,4,4
136,AL-2022-16-2022,2,2
136,VA-2019-11-2019,4,4
136,VA-2020-51-2020,4,4
136,NC-2020-06-2020,5,5
