cutoff_date,ID,end_modified,end_true
75,NJ-2018-09-2019,2,3
75,VA-2019-49-2020,4,3
75,VA-2020-83-2021,2,1
75,MD-2020-15-2020,2,1
75,GA-2021-21-2021,2,3
75,VA-2021-96-2022,3,1
75,SC-2019-09-2019,3,4
75,AL-2020-03-2020,3,3
75,NC-2022-40-2022,4,3
75,VA-2019-46-2020,3,1
75,AL-2021-10-2021,3,3
75,FL-2021-04-2021,4,3
75,NC-2021-28-2021,3,1
75,GA-2021-18-2021,4,3
75,SC-2020-12-2020,2,3
75,AL-2021-11-2021,4,4
75,SC-2020-16-2020,3,1
75,GA-2020-05-2020,2,3
75,GA-2020-01-2020,2,3
75,NC-2020-08-2020,3,3
75,VA-2019-36-2020,3,1
75,AL-2020-07-2020,3,3
75,NC-2020-16-2020,3,1
75,NC-2022-37-2022,3,1
75,NJ-2018-08-2019,3,3
75,GA-2021-17-2021,4,3
75,VA-2021-97-2022,2,2
75,SC-2019-04-2019,2,3
75,VA-2022-100-2022,4,1
75,GA-2020-04-2020,3,3
75,ME-2018-09-2019,2,3
75,VA-2019-34-2020,3,4
75,NC-2022-39-2022,4,3
75,AL-2022-15-2022,4,3
75,VA-2019-18-2019,2,3
75,VA-2019-33-2020,4,4
75,NJ-2018-15-2019,3,3
75,VA-2019-47-2020,3,3
75,VA-2020-84-2021,2,3
92,NJ-2018-09-2019,2,4
92,VA-2019-49-2020,3,3
92,VA-2020-83-2021,4,4
92,NY-2019-13-2020,3,3
92,MD-2020-15-2020,3,3
92,GA-2021-21-2021,2,3
92,VA-2021-96-2022,3,4
92,SC-2022-25-2022,1,1
92,SC-2019-09-2019,3,4
92,AL-2020-03-2020,2,3
92,NC-2022-40-2022,3,3
92,VA-2019-46-2020,3,3
92,AL-2021-10-2021,3,4
92,FL-2021-04-2021,3,3
92,NC-2021-28-2021,3,3
92,GA-2021-18-2021,3,3
92,SC-2020-12-2020,3,3
92,AL-2021-11-2021,3,4
92,SC-2020-16-2020,3,1
92,SC-2020-16-2020,3,1
92,GA-2020-05-2020,2,3
92,VA-2021-92-2021,4,3
92,GA-2020-01-2020,3,3
92,NC-2020-08-2020,3,4
92,VA-2019-36-2020,2,3
92,AL-2020-07-2020,3,3
92,AL-2020-07-2020,3,3
92,NC-2020-16-2020,2,3
92,NC-2022-37-2022,3,1
92,VA-2021-93-2021,2,3
92,NJ-2018-08-2019,3,3
92,GA-2021-17-2021,3,3
92,SC-2019-04-2019,3,3
92,NC-2022-34-2022,3,3
92,VA-2022-100-2022,4,1
92,GA-2020-04-2020,3,3
92,VA-2019-45-2020,3,3
92,ME-2018-09-2019,2,3
92,VA-2019-34-2020,3,4
92,NC-2022-39-2022,3,3
92,NC-2022-31-2022,3,3
92,AL-2022-15-2022,3,3
92,NC-2022-45-2022,2,3
92,NC-2022-38-2022,2,3
92,VA-2019-18-2019,3,3
92,VA-2019-33-2020,3,4
92,NJ-2018-15-2019,3,3
92,VA-2019-47-2020,3,3
92,VA-2020-84-2021,3,3
106,NJ-2018-09-2019,3,4
106,VA-2019-49-2020,3,4
106,VA-2020-83-2021,4,4
106,MD-2020-15-2020,3,4
106,GA-2021-21-2021,2,4
106,VA-2021-96-2022,4,4
106,SC-2022-25-2022,2,4
106,SC-2019-09-2019,3,4
106,AL-2020-03-2020,3,3
106,NC-2022-40-2022,3,4
106,VA-2019-46-2020,3,3
106,AL-2021-10-2021,2,4
