event_id,primary_step_state,primary_point_state
13847383706,Primary step state: Stationary,Primary point state: Stationary
13847383707,Primary step state: Stationary,Primary point state: Stationary
13847383708,Primary step state: Stationary,Primary point state: Stationary
13877262948,Primary step state: Stationary,Primary point state: Stationary
13877262949,Primary step state: Stationary,Primary point state: Stationary
13877262950,Primary step state: Stationary,Primary point state: Stationary
14074649058,Primary step state: Stationary,Primary point state: Stationary
14074649059,Primary step state: Stationary,Primary point state: Stationary
14074649060,Primary step state: Stationary,Primary point state: Stationary
14074649061,Primary step state: Stationary,Primary point state: Stationary
14074649062,Primary step state: Stationary,Primary point state: Stationary
14074605754,Primary step state: Stationary,Primary point state: Stationary
14074605755,Primary step state: Stationary,Primary point state: Stationary
14074605756,Primary step state: Migratory (spring),Primary point state: Stationary
14073506348,Primary step state: State unknown (spring migratory or post-mig stationary),Primary point state: State unknown (spring migratory or post-mig stationary)
14073506349,Primary step state: State unknown (spring migratory or post-mig stationary),Primary point state: State unknown (spring migratory or post-mig stationary)
14073506350,Primary step state: State unknown (spring migratory or post-mig stationary),Primary point state: State unknown (spring migratory or post-mig stationary)
14073506351,Primary step state: State unknown (spring migratory or post-mig stationary),Primary point state: State unknown (spring migratory or post-mig stationary)
14073506352,Primary step state: State unknown (spring migratory or post-mig stationary),Primary point state: State unknown (spring migratory or post-mig stationary)
14073506353,Primary step state: State unknown (spring migratory or post-mig stationary),Primary point state: State unknown (spring migratory or post-mig stationary)
14331446238,Primary step state: State unknown (spring migratory or post-mig stationary),Primary point state: State unknown (spring migratory or post-mig stationary)
14331446239,Primary step state: State unknown (spring migratory or post-mig stationary),Primary point state: State unknown (spring migratory or post-mig stationary)
14331446240,Primary step state: State unknown (spring migratory or post-mig stationary),Primary point state: State unknown (spring migratory or post-mig stationary)
13847383718,Primary step state: Stationary,Primary point state: Stationary
13847383719,Primary step state: Stationary,Primary point state: Stationary
13847383720,Primary step state: Stationary,Primary point state: Stationary
13858477666,Primary step state: Stationary,Primary point state: Stationary
13858477667,Primary step state: Stationary,Primary point state: Stationary
13858477668,Primary step state: Stationary,Primary point state: Stationary
13877262902,Primary step state: Stationary,Primary point state: Stationary
13877262903,Primary step state: Stationary,Primary point state: Stationary
13877262904,Primary step state: Stationary,Primary point state: Stationary
14074649604,Primary step state: Stationary,Primary point state: Stationary
14074649605,Primary step state: Stationary,Primary point state: Stationary
14074649606,Primary step state: Stationary,Primary point state: Stationary
14074647290,Primary step state: Stationary,Primary point state: Stationary
14074647291,Primary step state: Stationary,Primary point state: Stationary
14074647292,Primary step state: Stationary,Primary point state: Stationary
14074647293,Primary step state: Stationary,Primary point state: Stationary
14074647294,Primary step state: Stationary,Primary point state: Stationary
14074647295,Primary step state: Stationary,Primary point state: Stationary
14074647296,Primary step state: Stationary,Primary point state: Stationary
14074647297,Primary step state: Stationary,Primary point state: Stationary
14074647298,Primary step state: Stationary,Primary point state: Stationary
14074647299,Primary step state: Stationary,Primary point state: Stationary
14074647300,Primary step state: Stationary,Primary point state: Stationary
14074647301,Primary step state: Stationary,Primary point state: Stationary
14074640318,Primary step state: Stationary,Primary point state: Stationary
14074640319,Primary step state: Stationary,Primary point state: Stationary
14074640320,Primary step state: Stationary,Primary point state: Stationary
14073506386,Primary step state: Stationary,Primary point state: Stationary
14073506387,Primary step state: Stationary,Primary point state: Stationary
14073506388,Primary step state: Stationary,Primary point state: Stationary
13847383721,Primary step state: Stationary,Primary point state: Stationary
13847383722,Primary step state: Stationary,Primary point state: Stationary
13847383723,Primary step state: Stationary,Primary point state: Stationary
13877262908,Primary step state: Stationary,Primary point state: Stationary
13877262909,Primary step state: Stationary,Primary point state: Stationary
13877262910,Primary step state: Stationary,Primary point state: Stationary
14074649613,Primary step state: Stationary,Primary point state: Stationary
14074649614,Primary step state: Stationary,Primary point state: Stationary
14074649615,Primary step state: Stationary,Primary point state: Stationary
14074648111,Primary step state: Stationary,Primary point state: Stationary
14074648112,Primary step state: Stationary,Primary point state: Stationary
14074648113,Primary step state: Stationary,Primary point state: Stationary
14074646711,Primary step state: Stationary,Primary point state: Stationary
14074646712,Primary step state: Stationary,Primary point state: Stationary
14074646713,Primary step state: Stationary,Primary point state: Stationary
14074646714,Primary step state: Stationary,Primary point state: Stationary
14074646715,Primary step state: Stationary,Primary point state: Stationary
14074646716,Primary step state: Stationary,Primary point state: Stationary
14074605791,Primary step state: Stationary,Primary point state: Stationary
14074605792,Primary step state: Stationary,Primary point state: Stationary
14074605793,Primary step state: Stationary,Primary point state: Stationary
14074605794,Primary step state: Stationary,Primary point state: Stationary
14074605795,Primary step state: Stationary,Primary point state: Stationary
14074605796,Primary step state: Stationary,Primary point state: Stationary
14074605797,Primary step state: Stationary,Primary point state: Stationary
14074605798,Primary step state: Stationary,Primary point state: Stationary
14074605799,Primary step state: Stationary,Primary point state: Stationary
14073506392,Primary step state: Stationary,Primary point state: Stationary
14073506393,Primary step state: Migratory (spring),Primary point state: Stationary
14073506394,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
14100898014,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
14100898015,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
14100898016,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
14116496522,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
14116496523,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
14116496524,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
14132750947,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
14132750948,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
14132750949,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
14150365607,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
14150365608,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
14150365609,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
14165992925,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
14165992926,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
14165992927,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
14212529103,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
14212529104,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
14212529105,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
14249914823,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
14249914824,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
14249914825,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
14271288721,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
14271288722,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
14271288723,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
14301614211,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
14301614212,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
14301614213,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
14324581195,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
14324581196,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
14324581197,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
14378167011,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
14378167012,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
