"burst","loc_id","long","lat","first_date","last_date","attempt_start","attempt_end","tot_vis","days_vis","consec_days","perc_days_vis","perc_top_vis"
"MD-2019-01",26,-75.9240036,38.4244881,2019-02-13,2019-03-21,2019-03-04,2019-03-21,13,12,11,32.43,100
"MD-2019-01",72,-61.5056496,45.6706161,2019-04-25,2019-05-08,2019-04-25,2019-05-08,10,10,10,71.43,100
"MD-2019-01",6,-75.8887024,38.4036484,2019-02-14,2019-03-01,2019-02-17,2019-03-01,7,7,5,43.75,100
"MD-2019-01",106,-60.5587311,46.1296272,2019-06-16,2019-08-29,2019-06-28,2019-07-18,6,6,6,8,100
"MD-2019-02",83,-89.6638336,45.1952782,2019-04-17,2019-05-08,2019-04-17,2019-05-07,19,19,19,86.36,100
"MD-2019-02",6,-75.8983307,38.4327278,2019-02-17,2019-03-13,2019-03-02,2019-03-13,8,8,6,32,100
"MD-2019-02",45,-85.5065994,41.7645454,2019-03-28,2019-04-02,2019-03-28,2019-04-02,5,5,5,83.33,100
"MD-2019-06",29,-75.922532,38.4263572,2019-02-13,2019-03-06,2019-02-28,2019-03-06,22,11,7,50,100
"MD-2019-06",83,-74.2524937,42.7772444,2019-04-10,2019-04-30,2019-04-10,2019-04-30,18,11,11,52.38,100
"MD-2019-06",113,-71.6459427,46.582901,2019-05-26,2019-06-11,2019-05-26,2019-06-11,10,5,5,29.41,100
"MD-2019-07",22,-73.8864517,41.8975372,2019-03-23,2019-04-12,2019-03-23,2019-04-12,10,10,10,47.62,100
"ME-2018-09",44,-65.5435638,46.9386864,2019-04-29,2019-05-20,2019-04-29,2019-05-19,9,9,9,40.91,100
"ME-2018-12",28,-66.7737732,45.138855,2019-04-11,2019-05-05,2019-04-11,2019-05-01,8,8,8,32,100
"ME-2018-13",14,-77.5530853,37.6849289,2019-02-28,2019-03-24,2019-03-02,2019-03-22,13,13,13,52,100
"ME-2018-13",47,-67.2262497,47.9223671,2019-05-05,2019-06-01,2019-05-09,2019-05-29,11,11,11,39.29,100
"NC-2019-04",96,-74.970871,42.6353531,2019-05-27,2019-06-18,2019-05-27,2019-06-16,11,11,11,47.83,100
"NC-2019-04",17,-78.8038559,36.0959625,2019-03-03,2019-03-20,2019-03-03,2019-03-20,10,10,10,55.56,100
"NC-2019-04",56,-74.9501343,42.6323586,2019-04-16,2019-05-09,2019-04-16,2019-05-06,10,10,10,41.67,100
"NC-2019-04",82,-74.9495697,42.631794,2019-05-08,2019-05-15,2019-05-08,2019-05-15,7,7,7,87.5,100
"NC-2019-04",117,-74.9220734,42.6672249,2019-07-18,2019-08-03,2019-07-18,2019-08-03,7,7,7,41.18,100
"NJ-2018-08",85,-69.3600922,45.4377861,2019-04-24,2019-05-14,2019-04-24,2019-05-14,11,11,11,52.38,100
"NJ-2018-08",42,-77.9359589,35.5125618,2019-02-27,2019-03-13,2019-02-27,2019-03-13,9,9,9,60,100
"NJ-2018-08",48,-75.9226227,40.2216568,2019-03-14,2019-03-28,2019-03-14,2019-03-28,7,7,7,46.67,100
"NJ-2018-08",107,-69.48983,45.4388084,2019-05-20,2019-07-19,2019-05-20,2019-06-09,7,7,7,11.48,100
"NJ-2018-08",18,-77.9747696,34.9091721,2019-01-18,2019-02-22,2019-01-18,2019-02-07,6,6,6,16.67,100
"NJ-2018-09",65,-69.9575958,41.8389893,2019-04-06,2019-05-02,2019-04-10,2019-04-30,14,14,14,51.85,100
"NJ-2018-09",50,-70.0757599,41.9635582,2019-03-20,2019-03-31,2019-03-20,2019-03-31,9,9,9,75,100
"NJ-2018-09",34,-76.9734039,36.7558289,2019-03-04,2019-03-13,2019-03-04,2019-03-13,6,6,6,60,100
"NJ-2018-09",99,-69.9778671,41.8250351,2019-05-28,2019-06-14,2019-05-28,2019-06-14,5,5,5,27.78,100
"NJ-2018-10",60,-74.6831512,41.6859779,2019-03-29,2019-04-06,2019-03-29,2019-04-06,8,8,8,88.89,100
"NJ-2018-10",8,-77.0484619,36.6876297,2019-01-09,2019-01-22,2019-01-09,2019-01-22,6,6,6,42.86,100
"NJ-2018-10",21,-77.0347137,36.7042427,2019-02-18,2019-03-02,2019-02-18,2019-03-02,6,6,6,46.15,100
"NJ-2018-10",41,-77.0338669,36.703373,2019-03-03,2019-03-12,2019-03-03,2019-03-12,6,6,6,60,100
"NJ-2018-10",72,-72.6837921,42.8194695,2019-04-19,2019-04-26,2019-04-19,2019-04-26,6,6,6,75,100
"NJ-2018-10",46,-74.6877823,41.6881027,2019-03-19,2019-03-27,2019-03-19,2019-03-27,5,5,5,55.56,100
"NJ-2018-11",5,-74.8394623,39.3935738,2019-02-09,2019-02-16,2019-02-09,2019-02-16,5,5,5,62.5,100
"NJ-2018-12",42,-74.9109344,38.9817734,2019-01-04,2019-03-14,2019-02-22,2019-03-14,35,35,35,50,100
"NJ-2018-12",67,-71.1510162,42.2148743,2019-03-27,2019-04-11,2019-03-27,2019-04-11,14,14,14,87.5,100
"NJ-2018-12",94,-65.986496,48.3395195,2019-04-28,2019-05-08,2019-04-28,2019-05-08,6,6,6,54.55,100
"NJ-2018-13",35,-75.5839081,38.0614281,2019-02-15,2019-03-19,2019-02-15,2019-03-07,19,19,19,57.58,100
"NJ-2018-13",76,-69.3782654,44.0727425,2019-04-07,2019-04-17,2019-04-07,2019-04-17,7,7,7,63.64,100
"NJ-2018-13",5,-74.9491806,38.9358978,2019-01-10,2019-01-28,2019-01-10,2019-01-28,5,5,5,26.32,100
"NJ-2018-13",65,-69.3311081,44.04356,2019-04-01,2019-04-06,2019-04-01,2019-04-06,5,5,5,83.33,100
"NJ-2018-14",13,-78.4923782,33.9558029,2019-01-18,2019-04-26,2019-02-20,2019-03-12,35,35,35,35.35,100
"NJ-2018-15",66,-73.0577316,42.5085297,2019-04-13,2019-05-04,2019-04-13,2019-05-03,13,13,13,59.09,100
"NJ-2018-15",50,-74.5414047,39.9353714,2019-03-09,2019-03-29,2019-03-09,2019-03-29,8,8,8,38.1,100
"NJ-2018-15",21,-75.8316422,37.9740028,2019-01-22,2019-02-15,2019-01-22,2019-02-11,6,6,6,24,100
"NY-2018-07",40,-75.526619,43.2154999,2019-05-14,2019-05-26,2019-05-14,2019-05-26,6,6,6,46.15,100
"PA-2018-02",8,-92.4025726,30.3161221,2019-01-14,2019-02-28,2019-02-08,2019-02-28,6,6,6,13.04,100
"PA-2018-04",31,-80.4862595,41.9519615,2019-04-23,2019-05-09,2019-04-23,2019-05-09,9,9,9,52.94,100
"QUE-2018-01",27,-80.5496216,34.830143,2019-01-06,2019-02-07,2019-01-12,2019-02-01,19,15,8,45.45,100
"QUE-2018-02",13,-85.6475754,35.387867,2019-03-23,2019-04-16,2019-03-23,2019-04-12,5,5,5,20,100
"RI-2018-07",31,-77.9707489,36.3035278,2019-01-17,2019-03-16,2019-02-24,2019-03-16,12,12,12,20.34,100
"RI-2018-07",15,-77.9711609,36.3034744,2019-01-11,2019-03-18,2019-01-11,2019-01-31,8,8,8,11.94,100
"RI-2018-07",45,-71.7699966,41.6552582,2019-04-11,2019-04-25,2019-04-11,2019-04-25,7,7,7,46.67,100
"RI-2018-11",14,-83.0900879,32.3736687,2019-01-31,2019-02-18,2019-01-31,2019-02-18,8,8,8,42.11,100
"SC-2019-02",50,-83.7945251,41.6327553,2019-03-27,2019-04-24,2019-03-31,2019-04-20,26,26,26,89.66,100
"SC-2019-02",116,-84.5170822,41.5416946,2019-05-29,2019-08-31,2019-08-11,2019-08-31,9,9,9,9.47,100
"SC-2019-02",82,-84.6015091,41.4882164,2019-05-04,2019-05-09,2019-05-04,2019-05-09,6,6,6,100,100
"SC-2019-02",124,-84.5174408,41.5406189,2019-07-18,2019-08-23,2019-07-18,2019-08-07,6,6,6,16.22,100
"SC-2019-02",47,-83.7942886,41.6328583,2019-03-22,2019-03-30,2019-03-22,2019-03-30,5,5,5,55.56,100
"SC-2019-03",81,-85.7410202,43.7569389,2019-04-15,2019-05-13,2019-04-23,2019-05-13,21,21,20,72.41,100
"SC-2019-03",10,-81.3019485,32.5800323,2019-02-20,2019-02-28,2019-02-20,2019-02-28,7,5,5,55.56,100
"SC-2019-04",72,-75.0061951,43.1719551,2019-04-13,2019-08-11,2019-04-17,2019-05-07,29,29,29,23.97,100
"SC-2019-04",96,-75.0035324,43.1724663,2019-06-18,2019-08-23,2019-07-08,2019-07-28,12,12,12,17.91,100
"SC-2019-04",5,-81.3241501,32.6102905,2019-02-14,2019-03-09,2019-02-25,2019-03-09,9,8,5,33.33,100
"SC-2019-04",52,-78.1240997,41.1378822,2019-03-30,2019-04-11,2019-03-30,2019-04-11,9,9,9,69.23,100
"SC-2019-08",72,-93.2997742,46.1549683,2019-04-22,2019-05-09,2019-04-22,2019-05-09,12,12,12,66.67,100
"SC-2019-08",91,-93.0632858,46.3781509,2019-05-15,2019-06-06,2019-05-15,2019-06-04,10,10,10,43.48,100
"SC-2019-08",43,-89.1927185,38.2498932,2019-03-21,2019-03-27,2019-03-21,2019-03-27,6,6,6,85.71,100
"SC-2019-08",59,-93.2530823,46.1341553,2019-04-10,2019-04-16,2019-04-10,2019-04-16,6,6,6,85.71,100
"SC-2019-09",43,-78.201355,38.5776253,2019-03-13,2019-04-18,2019-03-13,2019-04-02,32,32,32,86.49,100
"SC-2019-09",88,-78.2009506,38.5770378,2019-04-25,2019-08-23,2019-04-25,2019-05-15,17,17,11,14.05,100
"SC-2019-09",115,-78.2007675,38.57724,2019-05-10,2019-08-27,2019-07-26,2019-08-15,10,10,8,9.09,100
"SC-2019-09",23,-78.580368,37.8596497,2019-03-05,2019-03-10,2019-03-05,2019-03-10,5,5,5,83.33,100
"VA-2019-22",19,-82.6251144,37.9283333,2019-04-21,2019-05-06,2019-04-21,2019-05-06,9,8,6,50,100
"VA-2019-22",58,-82.5881195,37.9031677,2019-06-19,2019-08-03,2019-06-19,2019-07-09,6,6,6,13.04,100
"VA-2019-23",27,-72.1787491,43.7634697,2019-04-24,2019-05-20,2019-04-28,2019-05-18,19,15,14,55.56,100
"AL-2020-02",14,-87.2254562,32.0435066,2020-02-08,2020-03-06,2020-02-16,2020-03-06,13,12,6,42.86,100
"AL-2020-03",92,-99.6823959,50.891201,2020-05-08,2020-07-10,2020-05-08,2020-05-28,15,15,15,23.44,100
"AL-2020-03",76,-99.8400421,51.0111122,2020-04-25,2020-05-03,2020-04-25,2020-05-03,7,7,7,77.78,100
"AL-2020-03",31,-91.7619858,38.7568512,2020-03-09,2020-03-15,2020-03-09,2020-03-15,5,5,5,71.43,100
"AL-2020-03",44,-93.5928955,39.5488396,2020-03-21,2020-03-25,2020-03-21,2020-03-25,5,5,5,100,100
"AL-2020-03",110,-99.6805725,50.8853378,2020-06-08,2020-06-30,2020-06-08,2020-06-28,5,5,5,21.74,100
"AL-2020-06",7,-87.1527557,32.0771217,2020-02-05,2020-02-26,2020-02-14,2020-02-26,13,12,8,54.55,100
"AL-2020-07",67,-84.1642075,43.3465462,2020-04-01,2020-04-22,2020-04-01,2020-04-21,18,18,18,81.82,100
"AL-2020-07",97,-82.9381256,47.6756363,2020-05-08,2020-06-16,2020-05-08,2020-05-28,15,15,15,37.5,100
"AL-2020-07",117,-82.9383545,47.6771469,2020-06-15,2020-08-22,2020-08-02,2020-08-22,7,7,7,10.14,100
"AL-2020-07",33,-87.1586914,32.0875893,2020-02-15,2020-03-06,2020-02-15,2020-03-06,6,6,6,28.57,100
"AL-2020-07",125,-82.9345398,47.6786041,2020-07-05,2020-08-26,2020-07-05,2020-07-25,6,6,6,11.32,100
"GA-2020-01",106,-67.9688034,48.1175423,2020-04-30,2020-05-17,2020-04-30,2020-05-17,16,16,16,88.89,100
"GA-2020-01",127,-68.8716965,47.3501587,2020-06-28,2020-07-26,2020-06-28,2020-07-18,14,14,14,48.28,100
"GA-2020-01",113,-68.8708954,47.3519249,2020-05-25,2020-06-16,2020-05-25,2020-06-14,12,12,12,52.17,100
"GA-2020-01",79,-66.5297546,45.916378,2020-04-09,2020-04-21,2020-04-09,2020-04-21,9,9,9,69.23,100
"GA-2020-01",62,-79.4069901,42.3068047,2020-03-25,2020-04-03,2020-03-25,2020-04-03,7,7,7,70,100
"GA-2020-03",1,-83.7466507,33.4339981,2020-01-28,2020-03-09,2020-02-28,2020-03-09,20,17,10,40.48,100
"GA-2020-04",50,-80.8530045,36.5689735,2020-03-20,2020-04-11,2020-03-20,2020-04-09,17,17,17,73.91,100
