event_id,primary_step_state,primary_point_state,nesting_attempt
31432283096,Step state: Winter,Point state: Winter,Not nesting
31432283097,Step state: Winter,Point state: Winter,Not nesting
31432283099,Step state: Winter,Point state: Winter,Not nesting
31432283100,Step state: Winter,Point state: Winter,Not nesting
31432283102,Step state: Winter,Point state: Winter,Not nesting
31432283103,Step state: Winter,Point state: Winter,Not nesting
31467046460,Step state: Winter,Point state: Winter,Not nesting
31467046464,Step state: Winter,Point state: Winter,Not nesting
31467046857,Step state: Winter,Point state: Winter,Not nesting
31467046871,Step state: Winter,Point state: Winter,Not nesting
31507353247,Step state: Winter,Point state: Winter,Not nesting
31507353249,Step state: Winter,Point state: Winter,Not nesting
31507353251,Step state: Winter,Point state: Winter,Not nesting
31507353253,Step state: Winter,Point state: Winter,Not nesting
31609544286,Step state: Winter,Point state: Winter,Not nesting
31609544287,Step state: Winter,Point state: Winter,Not nesting
31609544290,Step state: Winter,Point state: Winter,Not nesting
31609544291,Step state: Winter,Point state: Winter,Not nesting
31609544294,Step state: Winter,Point state: Winter,Not nesting
31609544295,Step state: Winter,Point state: Winter,Not nesting
31609544296,Step state: Winter,Point state: Winter,Not nesting
31609544298,Step state: Winter,Point state: Winter,Not nesting
31609544371,Step state: Winter,Point state: Winter,Not nesting
31609544382,Step state: Migratory (spring),Point state: Winter,Not nesting
31609550510,Step state: Winter,Point state: Winter,Not nesting
31609550518,Step state: Winter,Point state: Winter,Not nesting
31609550519,Step state: Winter,Point state: Winter,Not nesting
31609550521,Step state: Winter,Point state: Winter,Not nesting
31609550523,Step state: Winter,Point state: Winter,Not nesting
31609550524,Step state: Winter,Point state: Winter,Not nesting
31609550530,Step state: Winter,Point state: Winter,Not nesting
31609550531,Step state: Winter,Point state: Winter,Not nesting
31609550533,Step state: Winter,Point state: Winter,Not nesting
31609550535,Step state: Winter,Point state: Winter,Not nesting
31609550536,Step state: Winter,Point state: Winter,Not nesting
31609550537,Step state: Winter,Point state: Winter,Not nesting
31609550571,Step state: Winter,Point state: Winter,Not nesting
31609550577,Step state: Winter,Point state: Winter,Not nesting
31609550578,Step state: Winter,Point state: Winter,Not nesting
31609550580,Step state: Winter,Point state: Winter,Not nesting
31609550769,Step state: Winter,Point state: Winter,Not nesting
31609550785,Step state: Winter,Point state: Winter,Not nesting
31609550786,Step state: Winter,Point state: Winter,Not nesting
31609550788,Step state: Winter,Point state: Winter,Not nesting
31627330978,Step state: Winter,Point state: Winter,Not nesting
31627330982,Step state: Winter,Point state: Winter,Not nesting
31627330985,Step state: Winter,Point state: Winter,Not nesting
31627330988,Step state: Winter,Point state: Winter,Not nesting
31627330989,Step state: Winter,Point state: Winter,Not nesting
31627330995,Step state: Winter,Point state: Winter,Not nesting
31627330996,Step state: Winter,Point state: Winter,Not nesting
31627330997,Step state: Winter,Point state: Winter,Not nesting
31627331000,Step state: Winter,Point state: Winter,Not nesting
31627331001,Step state: Winter,Point state: Winter,Not nesting
31627331007,Step state: Winter,Point state: Winter,Not nesting
31627331009,Step state: Winter,Point state: Winter,Not nesting
31627331010,Step state: Winter,Point state: Winter,Not nesting
31627331013,Step state: Winter,Point state: Winter,Not nesting
31627331014,Step state: Winter,Point state: Winter,Not nesting
31627331015,Step state: Winter,Point state: Winter,Not nesting
31627331019,Step state: Winter,Point state: Winter,Not nesting
31627331097,Step state: Winter,Point state: Winter,Not nesting
31627331098,Step state: Winter,Point state: Winter,Not nesting
31627331099,Step state: Winter,Point state: Winter,Not nesting
31627331102,Step state: Winter,Point state: Winter,Not nesting
31627331103,Step state: Winter,Point state: Winter,Not nesting
31627331104,Step state: Winter,Point state: Winter,Not nesting
31664904274,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31664904353,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31665695538,Step state: Winter,Point state: Winter,Not nesting
31665695540,Step state: Winter,Point state: Winter,Not nesting
31665695549,Step state: Winter,Point state: Winter,Not nesting
31665695554,Step state: Winter,Point state: Winter,Not nesting
31665695558,Step state: Winter,Point state: Winter,Not nesting
31665695562,Step state: Winter,Point state: Winter,Not nesting
31665695585,Step state: Winter,Point state: Winter,Not nesting
31665695594,Step state: Winter,Point state: Winter,Not nesting
31679748616,Step state: Winter,Point state: Winter,Not nesting
31679748617,Step state: Winter,Point state: Winter,Not nesting
31679748620,Step state: Winter,Point state: Winter,Not nesting
31679748621,Step state: Winter,Point state: Winter,Not nesting
31679748628,Step state: Winter,Point state: Winter,Not nesting
31679748630,Step state: Winter,Point state: Winter,Not nesting
31679748631,Step state: Winter,Point state: Winter,Not nesting
31679748634,Step state: Migratory (spring),Point state: Winter,Not nesting
31679748639,Step state: Winter,Point state: Winter,Not nesting
31679748641,Step state: Migratory (spring),Point state: Winter,Not nesting
31679748642,Step state: Winter,Point state: Winter,Not nesting
31679748643,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31741610560,Step state: Winter,Point state: Winter,Not nesting
31741610561,Step state: Winter,Point state: Winter,Not nesting
31741610563,Step state: Winter,Point state: Winter,Not nesting
31741610564,Step state: Winter,Point state: Winter,Not nesting
31741610566,Step state: Winter,Point state: Winter,Not nesting
31741610567,Step state: Winter,Point state: Winter,Not nesting
31741610569,Step state: Winter,Point state: Winter,Not nesting
31741610572,Step state: Winter,Point state: Winter,Not nesting
31741610574,Step state: Winter,Point state: Winter,Not nesting
31741610580,Step state: Winter,Point state: Winter,Not nesting
31741610582,Step state: Winter,Point state: Winter,Not nesting
31741610584,Step state: Winter,Point state: Winter,Not nesting
31741610588,Step state: Winter,Point state: Winter,Not nesting
31741610589,Step state: Migratory (spring),Point state: Winter,Not nesting
31741610590,Step state: Winter,Point state: Winter,Not nesting
31741610591,Step state: Winter,Point state: Winter,Not nesting
31741610592,Step state: Migratory (spring),Point state: Winter,Not nesting
31741610595,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31741610596,Step state: Winter,Point state: Winter,Not nesting
31741610602,Step state: Winter,Point state: Winter,Not nesting
31741610604,Step state: Winter,Point state: Winter,Not nesting
31741610607,Step state: Winter,Point state: Winter,Not nesting
31741610613,Step state: Migratory (spring),Point state: Winter,Not nesting
31741610614,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31741610617,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31741610618,Step state: Migratory (spring),Point state: Winter,Not nesting
31741610621,Step state: Migratory (spring),Point state: Winter,Not nesting
31838327159,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31838327161,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31838327163,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31838327165,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31838330026,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31838330027,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31838330028,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31838330029,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31838330030,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31838330031,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31838330032,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31838330033,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31838357923,Step state: Migratory (spring),Point state: Winter,Not nesting
31838357925,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31838357927,Step state: Winter,Point state: Winter,Not nesting
31838357928,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31838357931,Step state: Winter,Point state: Winter,Not nesting
31838357932,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31838357935,Step state: Migratory (spring),Point state: Winter,Not nesting
31838357936,Step state: Migratory (spring),Point state: Winter,Not nesting
31838357941,Step state: Migratory (spring),Point state: Winter,Not nesting
31838357942,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31838357944,Step state: Migratory (spring),Point state: Winter,Not nesting
31838357950,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
31838357951,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
